"filename", "language", "TypeScript JSX", "JavaScript", "JSON with Comments", "XML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/Button.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 2, 4, 73
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/DatePickerContainer.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 5, 73
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/DatePickerModal.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 0, 0, 2, 5, 72
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/ErrorOverlay.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/FlatButton.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/GradientButton.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 0, 0, 2, 4, 85
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/IconButton.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/InfoButton.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/LinkButton.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 2, 4, 59
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/LoadingBarOverlay.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 0, 0, 4, 6, 84
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/LoadingOverlay.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 2, 6, 46
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SettingsSection.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 0, 0, 3, 10, 91
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SettingsSwitch.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 6, 4, 59
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SplashScreenOverlay.tsx", "TypeScript JSX", 61, 0, 0, 0, 0, 0, 0, 4, 4, 69
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/ToastComponent.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 0, 27, 4, 71
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/selectCategoryIcon.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/confAppConstants.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 14, 1, 26
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/constants/styles.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 0, 4, 2, 124
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/eas.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/getFirebaseDatabase.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/initializeFirebaseApp.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 7, 3, 24
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/testAuth.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/i18n/supportedLanguages.tsx", "TypeScript JSX", 507, 0, 0, 0, 0, 0, 0, 56, 55, 618
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3, 3, 9
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/jsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 2, 0, 12
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/metro.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/package-lock.json", "JSON", 0, 0, 0, 0, 36937, 0, 0, 0, 1, 36938
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/package.json", "JSON", 0, 0, 0, 0, 91, 0, 0, 0, 1, 92
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/CategoryPickScreen.tsx", "TypeScript JSX", 290, 0, 0, 0, 0, 0, 0, 44, 21, 355
